geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,01/06/20 - 01/12/20,3726272,38046926.0
01,02,-86.8445209956579,32.75687994183124,-151.25054883603903,63.78846947897309,01/06/20 - 01/12/20,60,612.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390919,34.29309519459155,01/06/20 - 01/12/20,1639,16734.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174833,34.899772417519095,01/06/20 - 01/12/20,2331,23800.0
01,06,-86.8445209956579,32.75687994183124,-119.66384588674073,37.21530826027425,01/06/20 - 01/12/20,4157,42444.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,01/06/20 - 01/12/20,2374,24239.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,01/06/20 - 01/12/20,334,3410.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811382,38.99497528640482,01/06/20 - 01/12/20,126,1286.0
01,11,-86.8445209956579,32.75687994183124,-77.01629090354399,38.90477388790603,01/06/20 - 01/12/20,390,3982.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,01/06/20 - 01/12/20,50251,513085.0
01,13,-86.8445209956579,32.75687994183124,-83.427140213775,32.63861711465599,01/06/20 - 01/12/20,90227,921258.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068473,20.995111199008754,01/06/20 - 01/12/20,726,7412.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,01/06/20 - 01/12/20,217,2215.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,01/06/20 - 01/12/20,3522,35961.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774626,39.919869617317666,01/06/20 - 01/12/20,2214,22605.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,01/06/20 - 01/12/20,685,6994.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,01/06/20 - 01/12/20,714,7290.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,01/06/20 - 01/12/20,3606,36818.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,01/06/20 - 01/12/20,9562,97632.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,01/06/20 - 01/12/20,57,581.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070266,38.946493962582316,01/06/20 - 01/12/20,1363,13916.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,01/06/20 - 01/12/20,655,6687.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151435,44.874773603554026,01/06/20 - 01/12/20,1690,17255.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,01/06/20 - 01/12/20,737,7525.0
01,28,-86.8445209956579,32.75687994183124,-89.65335940964671,32.71289227326224,01/06/20 - 01/12/20,37262,380461.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,01/06/20 - 01/12/20,2179,22248.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,01/06/20 - 01/12/20,324,3308.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,01/06/20 - 01/12/20,438,4472.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,01/06/20 - 01/12/20,2003,20451.0
01,33,-86.8445209956579,32.75687994183124,-71.5712431674564,43.68023706030347,01/06/20 - 01/12/20,89,908.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,01/06/20 - 01/12/20,964,9842.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,01/06/20 - 01/12/20,712,7269.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,01/06/20 - 01/12/20,3311,33806.0
