orig_country,dest_county,visitor_flows,county_lng,county_lat,date_range
AE,01097,28,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
AF,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
AU,01097,6,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
CA,01097,30,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
CN,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
CR,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
EC,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
JO,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
KR,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
KZ,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
MX,01097,43,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
NG,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
PK,01097,4,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
VN,01097,8,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
ZA,01097,12,-88.19752954851884,30.685146924673063,01/13/20 - 01/19/20
AE,04007,4,-110.81173709843986,33.79974986778766,01/13/20 - 01/19/20
GT,04007,4,-110.81173709843986,33.79974986778766,01/13/20 - 01/19/20
MX,04007,4,-110.81173709843986,33.79974986778766,01/13/20 - 01/19/20
AE,04013,53,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
AF,04013,20,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
AR,04013,26,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
AU,04013,230,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
BD,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
BR,04013,72,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
BY,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
CA,04013,2549,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
CL,04013,20,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
CN,04013,28,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
CR,04013,47,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
CU,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
EC,04013,21,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
GH,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
GT,04013,41,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
ID,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
IL,04013,87,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
JO,04013,31,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
JP,04013,66,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
KE,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
KH,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
KR,04013,20,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
KW,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
LB,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
MA,04013,12,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
MM,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
MR,04013,9,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
MX,04013,2076,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
MY,04013,18,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
NE,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
NG,04013,48,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
NP,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
PA,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
PH,04013,24,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
PK,04013,20,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
QA,04013,16,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
RS,04013,20,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
SA,04013,8,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
TH,04013,14,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
TR,04013,16,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
TT,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
TW,04013,24,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
UA,04013,16,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
UY,04013,12,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
VN,04013,14,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
XK,04013,32,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
ZA,04013,4,-112.49128245766258,33.34882943568081,01/13/20 - 01/19/20
AE,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
AF,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
AU,06001,93,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
BR,06001,64,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
CA,06001,153,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
CL,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
CN,06001,82,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
CO,06001,24,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
CR,06001,12,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
DO,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
GH,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
HN,06001,12,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
IL,06001,48,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
IN,06001,12,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
JP,06001,13,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
KR,06001,120,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
KW,06001,17,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
LB,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
MD,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
MU,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
MX,06001,314,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
NG,06001,16,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
NZ,06001,34,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
PE,06001,61,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
PH,06001,76,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
PK,06001,20,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
RU,06001,12,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
SA,06001,28,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
SG,06001,82,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
SV,06001,41,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
TH,06001,59,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
TR,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
TW,06001,70,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
TZ,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
VE,06001,4,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
VN,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
ZA,06001,8,-121.91788544949588,37.650546842122445,01/13/20 - 01/19/20
AE,06037,58,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
AM,06037,114,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
AO,06037,4,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
AR,06037,669,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
AU,06037,5591,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BB,06037,8,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BD,06037,24,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BH,06037,4,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BR,06037,2767,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BS,06037,8,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BY,06037,12,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
BZ,06037,17,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CA,06037,2716,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CL,06037,55,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CN,06037,602,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CO,06037,250,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CR,06037,135,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
CU,06037,4,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
DO,06037,32,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
DZ,06037,4,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
EC,06037,202,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
EG,06037,71,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
GH,06037,28,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
GT,06037,174,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
HN,06037,127,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
ID,06037,381,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
IL,06037,296,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
IN,06037,66,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
IQ,06037,4,-118.26101696970831,34.19800147820897,01/13/20 - 01/19/20
