geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,01097,20,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
BR,01097,12,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
CA,01097,16,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
CN,01097,12,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
CO,01097,4,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
GT,01097,12,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
MX,01097,48,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
NG,01097,12,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
NI,01097,20,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
PE,01097,8,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
PH,01097,4,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
ZA,01097,8,-88.19752954851884,30.685146924673063,01/20/20 - 01/26/20
AE,04013,19,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
AF,04013,16,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
AR,04013,20,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
AU,04013,142,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
BB,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
BD,04013,28,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
BR,04013,118,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
BS,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
CA,04013,2433,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
CN,04013,57,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
CO,04013,40,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
CR,04013,17,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
DO,04013,16,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
EC,04013,20,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
EG,04013,14,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
GH,04013,4,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
GT,04013,54,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
HN,04013,4,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
ID,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
IL,04013,94,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
IN,04013,28,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
IQ,04013,4,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
IR,04013,8,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
JM,04013,28,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
JP,04013,32,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
KE,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
KH,04013,24,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
KR,04013,44,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
KW,04013,10,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
LK,04013,10,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
MA,04013,13,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
MR,04013,4,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
MX,04013,2117,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
MY,04013,8,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
NG,04013,118,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
NZ,04013,24,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
PE,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
PH,04013,34,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
PK,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
PS,04013,8,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
RS,04013,12,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
SA,04013,40,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
TH,04013,8,-112.49128245766258,33.34882943568081,01/20/20 - 01/26/20
