orig_country,dest_ct,visitor_flows,ct_lng,ct_lat,date_range
AE,04013318400,4,-111.9107666977076,33.43373793699877,03/02/20 - 03/08/20
AU,04013318400,18,-111.9107666977076,33.43373793699877,03/02/20 - 03/08/20
CA,04013318400,12,-111.9107666977076,33.43373793699877,03/02/20 - 03/08/20
MX,04013318400,8,-111.9107666977076,33.43373793699877,03/02/20 - 03/08/20
TR,04013318400,4,-111.9107666977076,33.43373793699877,03/02/20 - 03/08/20
AE,06037224600,4,-118.27180230251717,34.022298878560846,03/02/20 - 03/08/20
IQ,06037224600,4,-118.27180230251717,34.022298878560846,03/02/20 - 03/08/20
AE,06037430721,9,-118.04172084366623,34.13780360697247,03/02/20 - 03/08/20
AU,06037430721,4,-118.04172084366623,34.13780360697247,03/02/20 - 03/08/20
CN,06037430721,4,-118.04172084366623,34.13780360697247,03/02/20 - 03/08/20
MX,06037430721,12,-118.04172084366623,34.13780360697247,03/02/20 - 03/08/20
AE,06037463000,4,-118.07517911510122,34.15522474375101,03/02/20 - 03/08/20
MM,06037463000,8,-118.07517911510122,34.15522474375101,03/02/20 - 03/08/20
PH,06037463000,17,-118.07517911510122,34.15522474375101,03/02/20 - 03/08/20
AE,06037620102,4,-118.4180630535459,33.92019353627574,03/02/20 - 03/08/20
AE,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
AU,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
BR,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
CA,06037702901,12,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
GT,06037702901,8,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
IL,06037702901,9,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
MA,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
MY,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
SG,06037702901,4,-118.448597927248,33.97649273883201,03/02/20 - 03/08/20
AE,06037980013,4,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
AU,06037980013,4,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
BR,06037980013,12,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
EC,06037980013,4,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
MX,06037980013,16,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
NZ,06037980013,4,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
PH,06037980013,8,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
RU,06037980013,4,-118.38714514281945,33.91649775797735,03/02/20 - 03/08/20
AE,06037980028,18,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
AM,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
AR,06037980028,103,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
AU,06037980028,465,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
BO,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
BR,06037980028,149,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
BZ,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
CA,06037980028,855,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
CL,06037980028,8,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
CN,06037980028,34,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
CO,06037980028,16,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
CR,06037980028,30,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
DO,06037980028,11,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
EC,06037980028,22,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
EG,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
ET,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
GT,06037980028,20,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
HN,06037980028,15,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
ID,06037980028,27,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
IL,06037980028,36,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
IN,06037980028,17,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
JM,06037980028,9,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
JO,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
JP,06037980028,90,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
KR,06037980028,32,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
LB,06037980028,13,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
LC,06037980028,8,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
MA,06037980028,6,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
MN,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
MX,06037980028,515,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
MY,06037980028,10,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
NG,06037980028,8,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
NZ,06037980028,60,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
PA,06037980028,8,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
PE,06037980028,38,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
PH,06037980028,81,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
PK,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
PS,06037980028,4,-118.41352284444329,33.93985468418389,03/02/20 - 03/08/20
