geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,04013108200,4,-111.98888329612467,33.50016812584506,05/25/20 - 05/31/20
AE,04013111100,4,-111.9656401456131,33.48615940867051,05/25/20 - 05/31/20
AE,04013420107,4,-111.66912847996176,33.48258880516036,05/25/20 - 05/31/20
AE,06019006403,4,-118.84008597600453,36.828186351563,05/25/20 - 05/31/20
NG,06019006403,34,-118.84008597600453,36.828186351563,05/25/20 - 05/31/20
AE,06073012102,8,-117.07858933030899,32.670351561272895,05/25/20 - 05/31/20
MX,06073012102,12,-117.07858933030899,32.670351561272895,05/25/20 - 05/31/20
AE,06095253106,4,-121.96604328163379,38.34174846974073,05/25/20 - 05/31/20
AE,06097153808,4,-122.80808619590059,38.5426793146212,05/25/20 - 05/31/20
AE,10001041100,4,-75.4689793645252,39.12044129002928,05/25/20 - 05/31/20
AE,12011080200,5,-80.15524847939608,26.06805404883586,05/25/20 - 05/31/20
BR,12011080200,32,-80.15524847939608,26.06805404883586,05/25/20 - 05/31/20
BS,12011080200,5,-80.15524847939608,26.06805404883586,05/25/20 - 05/31/20
CO,12011080200,40,-80.15524847939608,26.06805404883586,05/25/20 - 05/31/20
MX,12011080200,4,-80.15524847939608,26.06805404883586,05/25/20 - 05/31/20
AE,12057980600,8,-82.53334240571404,27.977744846447546,05/25/20 - 05/31/20
AE,12131950603,8,-86.33753436032397,30.404168482882802,05/25/20 - 05/31/20
AF,12131950603,4,-86.33753436032397,30.404168482882802,05/25/20 - 05/31/20
CA,12131950603,8,-86.33753436032397,30.404168482882802,05/25/20 - 05/31/20
AE,13057090904,4,-84.4985967802785,34.10167178941846,05/25/20 - 05/31/20
PA,13057090904,4,-84.4985967802785,34.10167178941846,05/25/20 - 05/31/20
AE,16083001100,4,-114.4693500619235,42.55685305355412,05/25/20 - 05/31/20
AE,17031570300,4,-87.73079090806861,41.80414485206195,05/25/20 - 05/31/20
AE,17031650100,72,-87.71785492529011,41.78237660903901,05/25/20 - 05/31/20
AE,17031671400,10,-87.67622885929579,41.773792202366494,05/25/20 - 05/31/20
AE,17031804603,8,-88.05398760623581,42.05371538751186,05/25/20 - 05/31/20
CA,17031804603,4,-88.05398760623581,42.05371538751186,05/25/20 - 05/31/20
JP,17031804603,4,-88.05398760623581,42.05371538751186,05/25/20 - 05/31/20
TR,17031804603,5,-88.05398760623581,42.05371538751186,05/25/20 - 05/31/20
AE,17031838300,6,-87.6384038673696,41.90156654834101,05/25/20 - 05/31/20
AE,17143003101,4,-89.65937136985039,40.7581921635354,05/25/20 - 05/31/20
AE,20173000400,27,-97.32758348657842,37.7069895100518,05/25/20 - 05/31/20
AE,22019000400,6,-93.19899916171248,30.23204927304225,05/25/20 - 05/31/20
AE,22071011100,18,-90.10700682889518,29.937030129342226,05/25/20 - 05/31/20
AE,24031701422,4,-76.94381292970212,39.08294967328687,05/25/20 - 05/31/20
AE,28049002700,4,-90.1767776599546,32.296021458229966,05/25/20 - 05/31/20
AE,29510125700,4,-90.19034762099662,38.63786076987029,05/25/20 - 05/31/20
AE,34013007700,4,-74.15981586870086,40.728282866674135,05/25/20 - 05/31/20
BR,34013007700,4,-74.15981586870086,40.728282866674135,05/25/20 - 05/31/20
EC,34013007700,4,-74.15981586870086,40.728282866674135,05/25/20 - 05/31/20
ID,34013007700,5,-74.15981586870086,40.728282866674135,05/25/20 - 05/31/20
AE,34013980100,4,-74.16713332468429,40.713638219417334,05/25/20 - 05/31/20
AE,34013980200,4,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
BR,34013980200,4,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
CA,34013980200,4,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
IL,34013980200,5,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
MX,34013980200,4,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
PK,34013980200,7,-74.15637201190212,40.69816199123071,05/25/20 - 05/31/20
AE,36081048400,4,-73.75993744752262,40.71581727555703,05/25/20 - 05/31/20
AE,37025042602,4,-80.69357582910004,35.369658529639096,05/25/20 - 05/31/20
MX,37025042602,7,-80.69357582910004,35.369658529639096,05/25/20 - 05/31/20
AE,37119002400,31,-80.81688674107974,35.207212580667765,05/25/20 - 05/31/20
AE,37119005516,4,-80.76549415853171,35.385676298825146,05/25/20 - 05/31/20
AE,37119005524,4,-80.77859033322686,35.297469998707044,05/25/20 - 05/31/20
AE,37119006106,4,-80.85754834392577,35.3549961319751,05/25/20 - 05/31/20
AE,37119980100,17,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
CA,37119980100,17,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
CO,37119980100,4,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
CR,37119980100,4,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
HN,37119980100,4,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
MX,37119980100,13,-80.9491960001481,35.211902190132825,05/25/20 - 05/31/20
AE,42101000803,15,-75.17424887681244,39.949374780125666,05/25/20 - 05/31/20
AE,45015020710,5,-80.18262709961483,33.09374257078997,05/25/20 - 05/31/20
MX,45015020710,4,-80.18262709961483,33.09374257078997,05/25/20 - 05/31/20
AE,45015020711,4,-80.10587246271812,33.13520329190312,05/25/20 - 05/31/20
AE,45019002802,4,-80.00441638350979,32.77637909458279,05/25/20 - 05/31/20
AE,45085000300,4,-80.46931727536145,33.979357227468455,05/25/20 - 05/31/20
AE,45085000400,4,-80.32348910296189,34.01085406670649,05/25/20 - 05/31/20
AE,45085000800,4,-80.35100022519596,33.95306553822587,05/25/20 - 05/31/20
AE,45085000901,4,-80.37322189275902,33.94839163959639,05/25/20 - 05/31/20
AE,45085001802,4,-80.52845276542087,33.92222431662176,05/25/20 - 05/31/20
AE,48085030408,4,-96.82672114684212,33.153179956972664,05/25/20 - 05/31/20
CA,48085030408,9,-96.82672114684212,33.153179956972664,05/25/20 - 05/31/20
MY,48085030408,5,-96.82672114684212,33.153179956972664,05/25/20 - 05/31/20
AE,48201451401,4,-95.61236674786751,29.750367203583814,05/25/20 - 05/31/20
AE,48201541900,13,-95.69524868220718,29.815900246027354,05/25/20 - 05/31/20
AE,49003960300,4,-112.15164383693327,41.70275776716183,05/25/20 - 05/31/20
CA,49003960300,4,-112.15164383693327,41.70275776716183,05/25/20 - 05/31/20
AE,51550021502,4,-76.42418689647684,36.824959304794376,05/25/20 - 05/31/20
AE,53033008200,4,-122.33194112527099,47.61037287312151,05/25/20 - 05/31/20
NG,53033008200,4,-122.33194112527099,47.61037287312151,05/25/20 - 05/31/20
AF,01097002900,4,-88.11679565307627,30.666647849200757,05/25/20 - 05/31/20
AF,01097003707,4,-88.17004053310673,30.654775276272986,05/25/20 - 05/31/20
AF,06037980028,5,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
AU,06037980028,17,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
CA,06037980028,12,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
CL,06037980028,4,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
CN,06037980028,14,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
ID,06037980028,6,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
IL,06037980028,12,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
KR,06037980028,8,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
MX,06037980028,39,-118.41352284444329,33.93985468418389,05/25/20 - 05/31/20
