orig_country,dest_state,visitor_flows,state_lng,state_lat,date_range
AE,01,20,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
AU,01,101,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
BR,01,32,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
CA,01,121,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
CL,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
CN,01,24,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
CO,01,12,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
CR,01,21,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
DJ,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
DO,01,16,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
GT,01,32,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
HN,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
ID,01,28,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
IL,01,21,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
IN,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
JM,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
JO,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
JP,01,16,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
KE,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
KN,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
KR,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
KW,01,20,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
LC,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
MX,01,533,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
MY,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
MZ,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
NG,01,24,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
NI,01,20,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
OM,01,16,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
PA,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
PE,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
PH,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
TR,01,4,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
TT,01,37,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
TW,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
VN,01,8,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
ZA,01,16,-86.8445209956579,32.75687994183124,01/20/20 - 01/26/20
AE,04,19,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
AF,04,24,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
AR,04,32,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
AU,04,210,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
BB,04,12,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
BD,04,28,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
BR,04,197,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
BS,04,12,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
CA,04,3476,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
CN,04,77,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
CO,04,49,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
CR,04,17,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
CU,04,29,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
DO,04,28,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
DZ,04,6,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
EC,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
EG,04,14,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
GH,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
GT,04,62,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
HN,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
ID,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
IL,04,169,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
IN,04,28,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
IQ,04,16,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
IR,04,8,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
JM,04,28,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
JP,04,76,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
KE,04,12,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
KH,04,28,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
KR,04,137,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
KW,04,22,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
KZ,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
LA,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
LK,04,10,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
MA,04,25,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
MD,04,8,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
MR,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
MX,04,8072,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
MY,04,8,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
NG,04,118,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
NZ,04,24,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
PE,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
PH,04,74,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
PK,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
PS,04,8,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
RS,04,16,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
RU,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
SA,04,48,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
TH,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
TR,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
TT,04,16,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
TW,04,124,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
TZ,04,4,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
UA,04,36,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
UG,04,16,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
UY,04,20,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
VN,04,25,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
XK,04,27,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
ZA,04,38,-111.6644603390921,34.29309519459149,01/20/20 - 01/26/20
AE,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
AM,05,8,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
AU,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
BF,05,40,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
BO,05,42,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
BR,05,41,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
CA,05,227,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
CN,05,15,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
CO,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
CR,05,8,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
DM,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
DO,05,12,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
HN,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
HT,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
IN,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
IR,05,16,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
JP,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
KR,05,8,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
KW,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
MX,05,547,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
MY,05,8,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
NG,05,8,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
PH,05,36,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
RU,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
TR,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
TZ,05,4,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
VN,05,39,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
ZA,05,12,-92.43923686174863,34.8997724175194,01/20/20 - 01/26/20
AE,06,431,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AF,06,86,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AG,06,4,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AM,06,157,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AR,06,1425,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AU,06,8923,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
AZ,06,8,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BB,06,4,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BD,06,85,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BH,06,4,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BO,06,86,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BR,06,7240,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BS,06,8,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BY,06,24,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
BZ,06,20,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CA,06,8703,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CL,06,245,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CM,06,6,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CN,06,1915,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CO,06,670,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CR,06,452,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
CU,06,4,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
DJ,06,16,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
DO,06,164,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
DZ,06,4,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
EC,06,353,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
EG,06,269,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
ET,06,16,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
FJ,06,16,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
GE,06,20,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
GH,06,78,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
GT,06,510,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
GY,06,11,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
HN,06,237,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
ID,06,528,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
IL,06,1354,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
IN,06,616,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
IQ,06,110,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
IR,06,168,-119.6638458867405,37.21530826027419,01/20/20 - 01/26/20
