geoid_o,geoid_d,visitor_flows,lng_o,lat_d,date_range
AE,01,8,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
AF,01,8,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
AU,01,8,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
BR,01,4,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
BY,01,4,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
CA,01,94,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
CO,01,26,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
HN,01,8,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
JP,01,4,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
KW,01,4,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
LR,01,11,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
MX,01,261,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
NG,01,16,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
ZA,01,4,-86.8445209956579,32.75687994183124,06/01/20 - 06/07/20
AE,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
AR,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
AU,04,12,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
BR,04,8,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
CA,04,340,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
CM,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
DO,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
ID,04,13,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
IL,04,20,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
JM,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
JP,04,29,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
MX,04,2486,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
NG,04,22,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
NI,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
SG,04,8,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
TH,04,32,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
UA,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
VN,04,8,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
ZA,04,4,-111.6644603390921,34.29309519459149,06/01/20 - 06/07/20
AE,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
AF,06,45,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
AR,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
AU,06,80,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
BD,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
BN,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
BO,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
BR,06,142,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
BS,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CA,06,972,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CL,06,12,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CN,06,36,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CO,06,76,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CR,06,20,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
CU,06,8,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
DO,06,4,-119.6638458867405,37.21530826027419,06/01/20 - 06/07/20
